"uri","geo_long","geo_lat","clase","rdfs_label","tieneEnlaceSIG"
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/4-monumento-muralla-arabe-sur",-6.37077,39.472,"MONUMENTO ","Muralla Arabe Sur","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2102 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/40-arco-del-cristo",-6.36915,39.4735,"ARCO ","del Cristo","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1227 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/41-torre-de-la-puerta-del-concejo",-6.36905,39.4733,"TORRE ","de la Puerta del Concejo","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1212 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/42-torre-de-los-pozos-o-del-gitano",-6.3692,39.4724,"TORRE ","de los Pozos o del Gitano","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1209 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/43-torre-adosada",-6.36967,39.4723,"TORRE ","Adosada","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1210 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/44-torre-albarrana",-6.36983,39.472,"TORRE ","Albarrana","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1211 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/45-casa-de-los-caballos",-6.36975,39.4728,"CASA ","de los Caballos","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1169 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/46-iglesia-san-francisco-javier",-6.37036,39.4736,"IGLESIA ","San Francisco Javier","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1159 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/47-palacio-de-luisa-de-carvajal",-6.37008,39.4733,"PALACIO ","de Luisa de Carvajal","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1230 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/48-casa-de-ovando-aldana",-6.37121,39.4737,"CASA ","de Ovando Aldana","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1189 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/49-palacio-de-la-generala",-6.37163,39.4739,"PALACIO ","de la Generala","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1192 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/5-iglesia-san-juan",-6.37348,39.4734,"IGLESIA ","San Juan","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1165 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/50-casa-del-aguila",-6.37108,39.4735,"CASA ","del Aguila","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1190 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/51-casa-del-sol-o-de-los-solis",-6.37082,39.4735,"CASA ","del Sol o de los Solis","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1225 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/52-casa-mudejar",-6.3716,39.4736,"CASA ","Mudejar","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1172 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/53-palacio-de-los-condes-de-adanero",-6.37177,39.4737,"PALACIO ","de los Condes de Adanero","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1191 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/54-palacio-de-los-saavedra",-6.37144,39.4735,"PALACIO ","de los Saavedra","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1226 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/55-palacio-de-los-ulloa-roda",-6.37154,39.4733,"PALACIO ","de los Ulloa-Roda","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1198 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/56-palacio-de-los-golfines-de-arriba",-6.37198,39.4733,"PALACIO ","de los Golfines de Arriba","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1197 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/57-torre-de-los-sande",-6.3712,39.4733,"TORRE ","de los Sande","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1199 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/58-iglesia-san-mateo",-6.37095,39.4732,"IGLESIA ","San Mateo","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1157 "
"http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/59-palacio-de-las-cigueñas",-6.37064,39.4732,"PALACIO ","de las Cigueñas","http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1229 "
